Window,Model,CV F1,CV F1 Std,CV AUC,CV AUC Std,CV Recall,Train AUC,Overfit Gap,Experiment
Q1,Logistic Regression,0.7204,0.028,0.8189,0.0085,0.6674,0.8253,0.0065,baseline
Q1,SVM,0.723,0.0243,0.8248,0.0076,0.6663,0.8482,0.0234,baseline
Q1,Random Forest,0.7274,0.0221,0.8272,0.0116,0.6769,0.8695,0.0423,baseline
Q1,XGBoost,0.7367,0.0205,0.835,0.0114,0.6931,0.8642,0.0292,baseline
Q2,Logistic Regression,0.805,0.0078,0.898,0.0071,0.7231,0.902,0.004,baseline
Q2,SVM,0.7811,0.0046,0.8872,0.0075,0.6751,0.9023,0.0151,baseline
Q2,Random Forest,0.8021,0.0061,0.8987,0.0054,0.7139,0.9292,0.0306,baseline
Q2,XGBoost,0.8125,0.0035,0.9026,0.0058,0.7502,0.928,0.0254,baseline
Q3,Logistic Regression,0.8726,0.0005,0.9332,0.004,0.8078,0.9357,0.0025,baseline
Q3,SVM,0.8696,0.002,0.9218,0.0021,0.7924,0.9317,0.0099,baseline
Q3,Random Forest,0.8719,0.0019,0.9308,0.0057,0.7978,0.9563,0.0255,baseline
Q3,XGBoost,0.8727,0.0035,0.9341,0.0035,0.821,0.9539,0.0198,baseline
Master,Logistic Regression,0.8741,0.0112,0.9441,0.0081,0.8615,0.9487,0.0045,baseline
Master,SVM,0.878,0.0122,0.9419,0.0044,0.8421,0.954,0.012,baseline
Master,Random Forest,0.8788,0.0077,0.9462,0.0054,0.8401,0.9668,0.0207,baseline
Master,XGBoost,0.8779,0.0161,0.9501,0.0079,0.8631,0.9693,0.0193,baseline
Q1,Logistic Regression,0.7195,0.0301,0.8201,0.0076,0.6676,0.8274,0.0073,with_cluster
Q1,SVM,0.7215,0.0259,0.8241,0.0088,0.6664,0.8437,0.0197,with_cluster
Q1,Random Forest,0.7254,0.0226,0.8246,0.0115,0.6865,0.8699,0.0452,with_cluster
Q1,XGBoost,0.7361,0.0193,0.8346,0.0114,0.6941,0.8658,0.0312,with_cluster
Q2,Logistic Regression,0.8038,0.0088,0.8979,0.007,0.7214,0.9021,0.0041,with_cluster
Q2,SVM,0.7779,0.0053,0.8859,0.0071,0.6741,0.8997,0.0138,with_cluster
Q2,Random Forest,0.8005,0.0045,0.8973,0.0057,0.7145,0.9293,0.0319,with_cluster
Q2,XGBoost,0.8122,0.0039,0.9026,0.006,0.7505,0.9288,0.0262,with_cluster
Q3,Logistic Regression,0.874,0.0036,0.9385,0.0007,0.8213,0.9419,0.0034,with_cluster
Q3,SVM,0.8693,0.0023,0.9269,0.0034,0.7921,0.936,0.0091,with_cluster
Q3,Random Forest,0.8709,0.0017,0.9327,0.0049,0.7965,0.9582,0.0256,with_cluster
Q3,XGBoost,0.8718,0.0019,0.9374,0.0025,0.8189,0.9573,0.0199,with_cluster
Master,Logistic Regression,0.8752,0.0113,0.944,0.0081,0.8622,0.949,0.005,with_cluster
Master,SVM,0.8769,0.0128,0.941,0.0051,0.8416,0.9533,0.0124,with_cluster
Master,Random Forest,0.8783,0.0086,0.9452,0.0053,0.8386,0.9663,0.0211,with_cluster
Master,XGBoost,0.8779,0.0163,0.9495,0.0078,0.8646,0.9697,0.0202,with_cluster
