Experiment,Window,Model,Accuracy,Precision,Recall,F1,AUC
per_cluster,Q1,Logistic Regression,0.725,0.6725,0.8174,0.7379,0.8278
per_cluster,Q1,SVM,0.6766,0.611,0.8725,0.7187,0.8258
per_cluster,Q1,Random Forest,0.7108,0.646,0.8608,0.7381,0.8497
per_cluster,Q1,XGBoost,0.7382,0.6878,0.8187,0.7475,0.8513
per_cluster,Q1,MLP,0.7158,0.6556,0.8423,0.7373,0.8424
per_cluster,Q2,Logistic Regression,0.8147,0.7829,0.8421,0.8114,0.908
per_cluster,Q2,SVM,0.8026,0.7592,0.8539,0.8038,0.9056
per_cluster,Q2,Random Forest,0.7872,0.7256,0.8853,0.7975,0.9096
per_cluster,Q2,XGBoost,0.7851,0.7212,0.8904,0.7969,0.9104
per_cluster,Q2,MLP,0.7978,0.7483,0.8633,0.8017,0.9075
per_cluster,Q3,Logistic Regression,0.859,0.8321,0.8798,0.8553,0.9104
per_cluster,Q3,SVM,0.8568,0.8333,0.872,0.8523,0.9352
per_cluster,Q3,Random Forest,0.8362,0.7849,0.901,0.8389,0.9156
per_cluster,Q3,XGBoost,0.847,0.8061,0.8912,0.8465,0.9421
per_cluster,Q3,MLP,0.868,0.8561,0.867,0.8615,0.8861
per_cluster,Master,Logistic Regression,0.8821,0.8677,0.8861,0.8768,0.9489
per_cluster,Master,SVM,0.8464,0.7973,0.9059,0.8481,0.9427
per_cluster,Master,Random Forest,0.8577,0.8144,0.9059,0.8577,0.9471
per_cluster,Master,XGBoost,0.8563,0.8095,0.911,0.8573,0.9505
per_cluster,Master,MLP,0.8499,0.8068,0.8979,0.85,0.9458
