Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Experiment,CV_AUC,Best_Params
Q1,Logistic Regression_tuned,0.42,0.7377,0.6998,0.7812,0.7382,0.8261,"Pipeline(steps=[('scaler', RobustScaler()),
                ('clf',
                 LogisticRegression(C=1, class_weight='balanced', max_iter=1000,
                                    penalty='l1', random_state=42,
                                    solver='liblinear'))])","[[1 0 2 ... 2.0 0.0 1.0]
 [0 0 0 ... 2.0 2.0 0.797991967971065]
 [0 0 1 ... 2.0 0.0 0.9300000000559998]
 ...
 [0 1 0 ... 1.0 0.0 0.72500000004375]
 [0 0 1 ... 1.0 0.0 0.6500000000714286]
 [0 0 1 ... 1.0 0.0 0.5757575758520267]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'norm_total_Q1', 'norm_assessment_Q1', 'content_ratio_Q1', 'assessment_ratio_Q1', 'social_ratio_Q1', 'dim_entropy_norm_Q1', 'AP_Q1', 'AP_Q1_missing', 'n_submissions_Q1', 'num_late_submissions_Q1', 'spacing_score_Q1']",[0.02522592 0.68426301 0.03742859 ... 0.44535081 0.41959131 0.17785325],baseline_tuned,0.8181,"{'clf__C': 1, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Q1,Random Forest_tuned,0.42,0.7212,0.6598,0.8488,0.7425,0.8491,"Pipeline(steps=[('scaler', RobustScaler()),
                ('clf',
                 RandomForestClassifier(class_weight='balanced', max_depth=10,
                                        max_features='log2', n_estimators=500,
                                        n_jobs=-1, random_state=42))])","[[1 0 2 ... 2.0 0.0 1.0]
 [0 0 0 ... 2.0 2.0 0.797991967971065]
 [0 0 1 ... 2.0 0.0 0.9300000000559998]
 ...
 [0 1 0 ... 1.0 0.0 0.72500000004375]
 [0 0 1 ... 1.0 0.0 0.6500000000714286]
 [0 0 1 ... 1.0 0.0 0.5757575758520267]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'norm_total_Q1', 'norm_assessment_Q1', 'content_ratio_Q1', 'assessment_ratio_Q1', 'social_ratio_Q1', 'dim_entropy_norm_Q1', 'AP_Q1', 'AP_Q1_missing', 'n_submissions_Q1', 'num_late_submissions_Q1', 'spacing_score_Q1']",[0.13812483 0.56455468 0.15602223 ... 0.48138595 0.21695972 0.34926145],baseline_tuned,0.8264,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_split': 2, 'clf__n_estimators': 500}"
Q1,XGBoost_tuned,0.4,0.7375,0.6814,0.837,0.7512,0.8546,"Pipeline(steps=[('scaler', RobustScaler()),
                ('clf',
                 XGBClassifier(base_score=None, booster=None, callbacks=None,
                               colsample_bylevel=None, colsample_bynode=None,
                               colsample_bytree=0.7, device=None,
                               early_stopping_rounds=None,
                               enable_categorical=False, eval_metric='auc',
                               feature_types=None, feature_weights=None,
                               gamma=None, grow_policy=None,
                               importance_type=None,
                               interaction_constraints=None, learning_rate=0.1,
                               max_bin=None, max_cat_threshold=None,
                               max_cat_to_onehot=None, max_delta_step=None,
                               max_depth=3, max_leaves=None,
                               min_child_weight=None, missing=nan,
                               monotone_constraints=None, multi_strategy=None,
                               n_estimators=100, n_jobs=-1,
                               num_parallel_tree=None, ...))])","[[1 0 2 ... 2.0 0.0 1.0]
 [0 0 0 ... 2.0 2.0 0.797991967971065]
 [0 0 1 ... 2.0 0.0 0.9300000000559998]
 ...
 [0 1 0 ... 1.0 0.0 0.72500000004375]
 [0 0 1 ... 1.0 0.0 0.6500000000714286]
 [0 0 1 ... 1.0 0.0 0.5757575758520267]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'norm_total_Q1', 'norm_assessment_Q1', 'content_ratio_Q1', 'assessment_ratio_Q1', 'social_ratio_Q1', 'dim_entropy_norm_Q1', 'AP_Q1', 'AP_Q1_missing', 'n_submissions_Q1', 'num_late_submissions_Q1', 'spacing_score_Q1']",[0.07480875 0.61764413 0.10021181 ... 0.28588927 0.19325887 0.17558362],baseline_tuned,0.835,"{'clf__colsample_bytree': 0.7, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 0.7}"
Q1,SVM_tuned,0.32,0.6904,0.6274,0.8525,0.7228,0.8289,"Pipeline(steps=[('scaler', RobustScaler()),
                ('clf',
                 SVC(C=1, cache_size=500, class_weight='balanced',
                     probability=True, random_state=42))])","[[1 0 2 ... 2.0 0.0 1.0]
 [0 0 0 ... 2.0 2.0 0.797991967971065]
 [0 0 1 ... 2.0 0.0 0.9300000000559998]
 ...
 [0 1 0 ... 1.0 0.0 0.72500000004375]
 [0 0 1 ... 1.0 0.0 0.6500000000714286]
 [0 0 1 ... 1.0 0.0 0.5757575758520267]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'norm_total_Q1', 'norm_assessment_Q1', 'content_ratio_Q1', 'assessment_ratio_Q1', 'social_ratio_Q1', 'dim_entropy_norm_Q1', 'AP_Q1', 'AP_Q1_missing', 'n_submissions_Q1', 'num_late_submissions_Q1', 'spacing_score_Q1']",[0.23191261 0.72629677 0.21327295 ... 0.61382133 0.16815541 0.30531271],baseline_tuned,0.8242,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}"
Q1,MLP_tuned,0.38,0.7245,0.6703,0.8229,0.7388,0.8407,"Pipeline(steps=[('scaler', RobustScaler()),
                ('clf',
                 MLPClassifier(alpha=0.001, early_stopping=True,
                               hidden_layer_sizes=(128,), random_state=42))])","[[1 0 2 ... 2.0 0.0 1.0]
 [0 0 0 ... 2.0 2.0 0.797991967971065]
 [0 0 1 ... 2.0 0.0 0.9300000000559998]
 ...
 [0 1 0 ... 1.0 0.0 0.72500000004375]
 [0 0 1 ... 1.0 0.0 0.6500000000714286]
 [0 0 1 ... 1.0 0.0 0.5757575758520267]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'norm_total_Q1', 'norm_assessment_Q1', 'content_ratio_Q1', 'assessment_ratio_Q1', 'social_ratio_Q1', 'dim_entropy_norm_Q1', 'AP_Q1', 'AP_Q1_missing', 'n_submissions_Q1', 'num_late_submissions_Q1', 'spacing_score_Q1']",[0.06661775 0.66533452 0.13622975 ... 0.44712492 0.22237698 0.12532429],baseline_tuned,0.8291,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (128,), 'clf__learning_rate_init': 0.001, 'clf__max_iter': 200}"
Q2,Logistic Regression_tuned,0.4,0.8095,0.768,0.8562,0.8097,0.9088,"Pipeline(steps=[('scaler', RobustScaler()),
                ('clf',
                 LogisticRegression(C=0.1, class_weight='balanced',
                                    max_iter=1000, penalty='l1',
                                    random_state=42, solver='liblinear'))])","[[1 0 2 ... 1.0 0.0 1.0]
 [0 0 0 ... 1.0 1.0 1.0]
 [0 0 1 ... 1.0 0.0 0.8527131783793762]
 ...
 [0 1 0 ... 1.0 0.0 0.7512820513317554]
 [0 0 1 ... 0.0 0.0 0.6833333333690477]
 [0 0 1 ... 1.0 0.0 0.72500000004375]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'norm_total_Q2', 'norm_assessment_Q2', 'content_ratio_Q2', 'assessment_ratio_Q2', 'social_ratio_Q2', 'dim_entropy_norm_Q2', 'AP_Q2', 'AP_Q2_missing', 'n_submissions_Q2', 'num_late_submissions_Q2', 'spacing_score_Q2']",[0.03176508 0.32586863 0.07940649 ... 0.21776541 0.939162   0.13669939],baseline_tuned,0.898,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Q2,Random Forest_tuned,0.4,0.7976,0.7443,0.8722,0.8032,0.9099,"Pipeline(steps=[('scaler', RobustScaler()),
                ('clf',
                 RandomForestClassifier(class_weight='balanced', max_depth=10,
                                        max_features='log2',
                                        min_samples_split=5, n_estimators=500,
                                        n_jobs=-1, random_state=42))])","[[1 0 2 ... 1.0 0.0 1.0]
 [0 0 0 ... 1.0 1.0 1.0]
 [0 0 1 ... 1.0 0.0 0.8527131783793762]
 ...
 [0 1 0 ... 1.0 0.0 0.7512820513317554]
 [0 0 1 ... 0.0 0.0 0.6833333333690477]
 [0 0 1 ... 1.0 0.0 0.72500000004375]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'norm_total_Q2', 'norm_assessment_Q2', 'content_ratio_Q2', 'assessment_ratio_Q2', 'social_ratio_Q2', 'dim_entropy_norm_Q2', 'AP_Q2', 'AP_Q2_missing', 'n_submissions_Q2', 'num_late_submissions_Q2', 'spacing_score_Q2']",[0.0599221  0.36050511 0.09858647 ... 0.2532786  0.93439957 0.105339  ],baseline_tuned,0.8996,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_split': 5, 'clf__n_estimators': 500}"
Q2,XGBoost_tuned,0.42,0.7948,0.7399,0.8739,0.8013,0.9101,"Pipeline(steps=[('scaler', RobustScaler()),
                ('clf',
                 XGBClassifier(base_score=None, booster=None, callbacks=None,
                               colsample_bylevel=None, colsample_bynode=None,
                               colsample_bytree=0.7, device=None,
                               early_stopping_rounds=None,
                               enable_categorical=False, eval_metric='auc',
                               feature_types=None, feature_weights=None,
                               gamma=None, grow_policy=None,
                               importance_type=None,
                               interaction_constraints=None, learning_rate=0.01,
                               max_bin=None, max_cat_threshold=None,
                               max_cat_to_onehot=None, max_delta_step=None,
                               max_depth=7, max_leaves=None,
                               min_child_weight=None, missing=nan,
                               monotone_constraints=None, multi_strategy=None,
                               n_estimators=500, n_jobs=-1,
                               num_parallel_tree=None, ...))])","[[1 0 2 ... 1.0 0.0 1.0]
 [0 0 0 ... 1.0 1.0 1.0]
 [0 0 1 ... 1.0 0.0 0.8527131783793762]
 ...
 [0 1 0 ... 1.0 0.0 0.7512820513317554]
 [0 0 1 ... 0.0 0.0 0.6833333333690477]
 [0 0 1 ... 1.0 0.0 0.72500000004375]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'norm_total_Q2', 'norm_assessment_Q2', 'content_ratio_Q2', 'assessment_ratio_Q2', 'social_ratio_Q2', 'dim_entropy_norm_Q2', 'AP_Q2', 'AP_Q2_missing', 'n_submissions_Q2', 'num_late_submissions_Q2', 'spacing_score_Q2']",[0.04138751 0.39464116 0.0725728  ... 0.21592858 0.97938424 0.10083421],baseline_tuned,0.9025,"{'clf__colsample_bytree': 0.7, 'clf__learning_rate': 0.01, 'clf__max_depth': 7, 'clf__n_estimators': 500, 'clf__subsample': 0.7}"
Q2,SVM_tuned,0.36,0.8011,0.7559,0.8564,0.803,0.9063,"Pipeline(steps=[('scaler', RobustScaler()),
                ('clf',
                 SVC(C=1, cache_size=500, class_weight='balanced',
                     probability=True, random_state=42))])","[[1 0 2 ... 1.0 0.0 1.0]
 [0 0 0 ... 1.0 1.0 1.0]
 [0 0 1 ... 1.0 0.0 0.8527131783793762]
 ...
 [0 1 0 ... 1.0 0.0 0.7512820513317554]
 [0 0 1 ... 0.0 0.0 0.6833333333690477]
 [0 0 1 ... 1.0 0.0 0.72500000004375]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'norm_total_Q2', 'norm_assessment_Q2', 'content_ratio_Q2', 'assessment_ratio_Q2', 'social_ratio_Q2', 'dim_entropy_norm_Q2', 'AP_Q2', 'AP_Q2_missing', 'n_submissions_Q2', 'num_late_submissions_Q2', 'spacing_score_Q2']",[0.15336506 0.56548223 0.1481308  ... 0.19455564 0.91857114 0.19746954],baseline_tuned,0.8867,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}"
Q2,MLP_tuned,0.44,0.7912,0.733,0.8794,0.7996,0.9087,"Pipeline(steps=[('scaler', RobustScaler()),
                ('clf',
                 MLPClassifier(alpha=0.001, early_stopping=True,
                               hidden_layer_sizes=(128,), random_state=42))])","[[1 0 2 ... 1.0 0.0 1.0]
 [0 0 0 ... 1.0 1.0 1.0]
 [0 0 1 ... 1.0 0.0 0.8527131783793762]
 ...
 [0 1 0 ... 1.0 0.0 0.7512820513317554]
 [0 0 1 ... 0.0 0.0 0.6833333333690477]
 [0 0 1 ... 1.0 0.0 0.72500000004375]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'norm_total_Q2', 'norm_assessment_Q2', 'content_ratio_Q2', 'assessment_ratio_Q2', 'social_ratio_Q2', 'dim_entropy_norm_Q2', 'AP_Q2', 'AP_Q2_missing', 'n_submissions_Q2', 'num_late_submissions_Q2', 'spacing_score_Q2']",[0.0575538  0.45501062 0.12717216 ... 0.15057293 0.96191919 0.09590133],baseline_tuned,0.8977,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (128,), 'clf__learning_rate_init': 0.001, 'clf__max_iter': 200}"
