Window,Model,CV AUC,CV AUC Std,CV F1,CV F1 Std,CV Recall,Train AUC,Overfit Gap
Q1,Logistic Regression,0.8178,0.0088,0.7157,0.0275,0.6649,0.8243,0.0064
Q1,SVM,0.824,0.0082,0.7226,0.0265,0.6685,0.8442,0.0202
Q1,Random Forest,0.8254,0.0099,0.7264,0.0216,0.6828,0.8685,0.0431
Q1,XGBoost,0.8342,0.0107,0.7374,0.0197,0.6957,0.8651,0.0308
Q1,MLP,0.8278,0.0083,0.7294,0.0261,0.6868,0.8523,0.0245
Q2,Logistic Regression,0.8974,0.0059,0.8022,0.0099,0.719,0.9015,0.0042
Q2,SVM,0.8854,0.0069,0.7775,0.0066,0.6731,0.8987,0.0134
Q2,Random Forest,0.8964,0.0053,0.8002,0.0041,0.7143,0.9286,0.0322
Q2,XGBoost,0.902,0.0053,0.8105,0.0036,0.7511,0.928,0.0259
Q2,MLP,0.8974,0.0027,0.8051,0.0034,0.7378,0.9107,0.0132
Q3,Logistic Regression,0.9406,0.0012,0.8743,0.0044,0.8219,0.9436,0.003
Q3,SVM,0.9276,0.0029,0.8701,0.002,0.7939,0.9391,0.0114
Q3,Random Forest,0.9324,0.0048,0.8708,0.0021,0.7976,0.9581,0.0257
Q3,XGBoost,0.9386,0.003,0.8725,0.0024,0.8173,0.9585,0.0199
Q3,MLP,0.9353,0.0042,0.8733,0.0021,0.812,0.9448,0.0095
Master,Logistic Regression,0.9441,0.0079,0.875,0.0114,0.862,0.9492,0.0051
Master,SVM,0.9411,0.0051,0.8769,0.0127,0.842,0.9533,0.0122
Master,Random Forest,0.9455,0.0053,0.8789,0.0084,0.8406,0.9665,0.021
Master,XGBoost,0.9502,0.0074,0.8801,0.0146,0.8637,0.9697,0.0194
Master,MLP,0.9486,0.0064,0.8779,0.015,0.8515,0.9628,0.0142
